Name,Enchantment Type,Description,Socket Gem,Fills EC,Roll Req.,Upgradable,Cost
Tron Light,Armor,"This armor is imbued with colored light that can be activated for 1 action. Though it can reveal the wielder in darkness, it does not provide much more light than that.",Chipped Topaz,1,10,,"4,600c"
Simian,Armor,"Using Acrobatics to jump, swim, or climb costs -1 action (minimum of 1), and its distance is instead 1/2 the wielder's Acrobatics roll. (Upgrades continue adding 1/4 to distance)",Chipped Sapphire,1,10,X,"7,200c"
Graze,Armor,"When an attack misses the wielder by 5 or less points, this armor allows the wielder to move 1 space.",Chipped Lapis Lazuli,1,10,X,"8,800c"
Thorns,Armor,This armor gives its wielder thorns that deal 1d4 damage (bypassing armor) to melee attackers.,Chipped Emerald,1,10,X,"9,700c"
Resistance,Armor,This armor gives its wielder +4 Will against magical attacks.,Flawed Zircon,2,14,X,"10,000c"
Warding,Armor,Negative magical effects on you last 1 less turn.,Flawed Lapis Lazuli,2,14,X,"10,000c"
Seasonal,Armor,This armor provides its wielder immunity to the effects of climate.,Flawed Opal,2,14,,"10,000c"
Storage,Armor,You may contain up to 3 items within this armor that can be taken out for 1 action. These items must be smaller than the armor itself.,Flawed Orthoclase,2,14,,"10,000c"
Perfumed,Armor,This armor grants its wielder +6 to all Persuasion rolls.,Aquamarine,3,18,X,"20,000c"
Spellcatching,Armor,"If attacked by magic, this armor can store the spell used against the wielder to use when they choose. The original attack still has its effect, and the wielder’s spell can only be used once.",Lapis Lazuli,3,18,X,"20,000c"
Balance,Armor,This armor prevents extra effects done to its wielder due to Race or alignment.,Garnet,3,18,,"20,000c"
Darkblessed,Armor,This armor negates all effects (except base damage) from Stealth attacks.,Obsidian,3,18,,"20,000c"
Hindering,Armor,This armor limits attackers’ Move actions to 2 on their next turn.,Realgar,3,18,,"20,000c"
Swiftskin,Armor,The wielder of this armor may sacrifice their HP for more speed. Every 2 HP sacrificed provides 1 Move action per turn.,Emerald,3,18,,"20,000c"
Hovering,Armor,"This armor can float on command, allowing its wielder to levitate at 1 space per action.",Flawless Lapis Lazuli,4,22,,"20,000c"
Buffer,Armor,"This armor gives its wielder +6 Armor against Bludgeoning, Piercing, or Slashing damage - damage type chosen upon enchantment.",Flawless Opal,4,22,,"30,000c"
Coolant,Armor,"This armor takes ½ damage from fire and heat, and its wielder cannot be set aflame.",Flawless Sapphire,4,22,,"30,000c"
Dominion,Armor,"Attacks against the wielder of this armor, successful or not, cause the attacker to lose -1 Will against Intimidation and mind control effects.",Flawless Tiger’s Eye,4,22,,"30,000c"
Heated,Armor,"This armor takes ½ damage from frost and cold, and its wielder cannot be slowed from cold attacks.",Flawless Ruby,4,22,,"30,000c"
Insulated,Armor,"This armor takes ½ damage from lightning attacks, or 1/4 damage if wearing 8+ Armor.",Flawless Onyx,4,22,,"30,000c"
Oilslicked,Armor,"This armor grants its wielder +1 Move action per turn, +1 Reflex and Fortitude, and a ½ chance to escape traps. However, the wielder is always flammable.",Flawless Emerald,4,22,,"30,000c"
Autorepair,Armor,This armor heals its wielder 1 HP each turn and repairs itself for 1 Armor every 2 turns.,Brilliant Ruby,5,26,,"40,000c"
Blur,Armor,"This armor blurs its wielder. Any successful attack against them must immediately roll 1d10. On a 1 or 2, the attack misses.",Brilliant Pearl,5,26,,"40,000c"
Tetra,Armor,"This armor takes half damage from fire, frost, lightning, or sonic attacks against its wielder.",Brilliant Opal,5,26,,"40,000c"
Lifesaving,Armor,"Upon any attack, the wielder of this armor can choose to negate all damage done to them. If so, this armor shatters beyond repair.",Perfect Diamond,6,30,,"50,000c"
Branding,Weapons,Leaves a permanent signature mark on targets hit.,Chipped Ruby,1,10,,"4,000c"
Resonant,Weapons,This weapon adds its wielder’s lowest Stat to its damage.,Chipped Diamond,1,10,,"6,900c"
Instrument,Weapons,This weapon can be used as a musical instrument of your choice.,Chipped Garnet,1,10,,"7,500c"
Elastic,Weapons,This melee weapon’s range is doubled.,Chipped Peridot,1,10,,"8,000c"
Splinterwound,Weapons,Attacks with this ranged weapon deal an extra 1 damage to the enemy each turn and reduces healing done to them by -1.,Chipped Tiger’s Eye,1,10,X,"8,500c"
Disguised,Weapons,The wielder of this weapon can make it look like an ordinary object at any time.,Chipped Opal,1,10,,"8,600c"
Infinite Ammunition,Weapons,This ranged weapon will never run out of its required ammunition.,Chipped Zircon,1,10,,"9,000c"
Bloodhound,Weapons,Targets hit by this weapon can be tracked for the next 24 hours.,Chipped Cinnabar,1,10,,"9,200c"
Duplicating,Weapons,"When wielded, this weapon duplicates itself. It can only create 1 copy.",Chipped Quartz,1,10,,"9,200c"
Sandman,Weapons,"On a critical hit, this weapon puts the target to sleep for 7 turns. If it takes more than 10 damage, the target will wake prematurely.",Chipped Amethyst,1,10,X,"9,300c"
Acid,Weapons,"Attacks with this weapon throw acid at the target, removing 1 Armor.",Flawed Emerald,2,14,X,"10,000c"
Attitude,Weapons,Targets hit by this weapon have -6 Will against Persuasion rolls. This does not stack.,Flawed Sphene,2,14,X,"10,000c"
Cauterize,Weapons,Any healing on targets hit with this weapon are -3 for 3 turns. This does not stack.,Flawed Cinnabar,2,14,X,"10,000c"
Fire,Weapons,"Attacks with this weapon deal an extra 1d12 fire damage to the target. The wielder also rolls 1d6, and on a 6, sets the target aflame to take 1d6 damage each turn.",Flawed Ruby,2,14,X,"10,000c"
Flaying,Weapons,This weapon deals an extra die of damage against targets wearing no armor.,Flawed Tiger’s Eye,2,14,X,"10,000c"
Frost,Weapons,Attacks with this weapon deal an extra 1d4 frost damage to the target and slows them by 2 actions for 3 turns. This does not stack.,Flawed Sapphire,2,14,X,"10,000c"
Knockback,Weapons,Attacks with this weapon push the target away 3 spaces.,Flawed Quartz,2,14,X,"10,000c"
Lightning,Weapons,"Attacks with this weapon deal an extra 1d10 lightning damage to the target. If their Armor is 7+, this damage is tripled.",Flawed Topaz,2,14,X,"10,000c"
Sonic,Weapons,"Attacks with this weapon, successful or not, deal an extra 1d4 sonic damage to the target, bypassing armor. They are Muted and Deafened for 1 turn.",Flawed Garnet,2,14,X,"10,000c"
Contracted,Weapons,"This weapon loses 1 die of damage to become smaller. A 2H becomes a 1H, or a 1H gains a +7 Attack bonus.",Flawed Aquamarine,2,14,,"10,000c"
Dismemberment,Weapons,Critical hits with this weapon automatically sever one of the target’s limbs.,Flawed Peridot,2,14,,"10,000c"
Expanded,Weapons,"This weapon becomes bigger to gain 1 die of damage. A 1H becomes a 2H, or a 2H takes a -7 Attack penalty.",Flawed Citrine,2,14,,"10,000c"
